智能音箱,1201.91,6.14%,74.42,45.84,28.58,19,漫步者,10.03%,20.85
消费电子,1516.97,6.07%,139.43,88.44,50.99,55,聚辰股份,13.60%,77.93
无线耳机,1257.93,5.93%,164.82,117.21,47.61,57,漫步者,10.03%,20.85
今日头条概念,1089.33,5.64%,50.98,43.55,7.44,28,科达股份,10.11%,4.90
国家大基金持股,981.288,5.22%,107.46,87.59,19.88,20,沪硅产业,8.96%,33.56
电子发票,2650.02,5.21%,6.09,4.18,1.91,7,金财互联,10.03%,11.63
苹果概念,2286.64,5.19%,215.15,132.06,83.09,78,恒铭达,10.01%,52.97
无线充电,986.32,5.11%,68.73,46.42,22.31,27,联创电子,10.01%,11.87
HIT电池,1063.47,5.10%,24.98,17.81,7.17,18,迈为股份,10.00%,250.23
小米概念,1081.73,4.95%,158.79,100.96,57.83,70,聚辰股份,13.60%,77.93
光刻胶,1891.19,4.93%,62.90,51.17,11.72,27,蓝英装备,10.03%,11.30
智能穿戴,2069.65,4.87%,222.49,144.37,78.12,75,暴风集团,10.23%,1.94
氮化镓,797.716,4.83%,50.17,36.97,13.20,22,华峰测控,12.95%,273.65
MINILED,983.15,4.83%,79.27,44.71,34.56,28,万润科技,10.02%,4.50
云游戏,1026.68,4.70%,24.85,17.69,7.15,16,鹏博士,10.02%,7.47
集成电路概念,1425.77,4.68%,299.43,219.54,79.89,105,聚辰股份,13.60%,77.93
网红经济,1162.49,4.56%,70.55,62.64,7.91,70,小商品城,10.14%,3.80
蓝宝石,1918.06,4.53%,76.15,56.60,19.55,30,京运通,10.10%,4.36
富士康概念,1182.48,4.47%,49.90,35.29,14.62,41,中石科技,10.00%,31.23
网络切片,872.91,4.43%,42.45,30.21,12.23,13,中兴通讯,6.93%,38.55
网络直播,731.674,4.40%,43.29,37.40,5.89,44,暴风集团,10.23%,1.94
5G,2561.96,4.30%,342.51,235.55,106.96,242,海能达,10.08%,6.99
人工智能,728.825,4.26%,264.94,186.85,78.09,136,财富趋势,20.00%,250.85
数字货币,1181.09,4.24%,42.29,32.28,10.01,35,科达股份,10.11%,4.90
汽车电子,2218.18,4.24%,154.00,102.86,51.13,79,奥士康,10.00%,58.31
华为概念,1571.89,4.22%,521.22,360.25,160.97,380,聚辰股份,13.60%,77.93
柔性屏,1242.96,4.22%,98.71,59.60,39.11,72,万润科技,10.02%,4.50
百度概念,1045.36,4.19%,30.40,24.15,6.26,36,姚记科技,10.01%,32.30
OLED,1113.16,4.18%,184.97,126.38,58.60,109,智云股份,10.01%,11.32
虚拟现实,499.444,4.17%,183.78,127.83,55.95,118,暴风集团,10.23%,1.94
手机游戏,1722.05,4.17%,52.56,38.80,13.76,55,科达股份,10.11%,4.90
微信小程序,773.283,4.15%,6.49,5.79,0.71,10,麦达数字,10.03%,8.23
